deployment_id,project_id,sprint_id,environment,deployment_timestamp,status,rollback,duration_minutes,is_failure
DEP000001,P001,S0001,production,2023-12-18 16:09:33.635094,Success,0,5.0,0
DEP000002,P001,S0001,production,2023-12-22 05:41:15.451764,Success,0,25.1,0
DEP000003,P001,S0001,production,2023-12-28 17:07:52.850217,Success,0,3.6,0
DEP000004,P001,S0001,staging,2023-12-25 12:04:10.100705,Success,0,19.6,0
DEP000005,P001,S0001,staging,2023-12-17 01:28:35.750842,Success,0,7.8,0
DEP000006,P001,S0001,staging,2023-12-19 09:56:47.411151,Success,0,1.2,0
DEP000007,P001,S0001,staging,2023-12-18 21:52:43.979293,Success,0,21.8,0
DEP000008,P001,S0001,staging,2023-12-28 12:12:01.666648,Success,0,25.4,0
DEP000009,P001,S0001,staging,2023-12-24 21:56:37.748910,Success,0,35.0,0
DEP000010,P001,S0001,staging,2023-12-17 10:56:19.459764,Success,0,5.2,0
DEP000011,P001,S0001,production,2023-12-20 02:41:13.205706,Success,0,25.1,0
DEP000012,P001,S0001,production,2023-12-20 02:50:20.851651,Success,0,14.8,0
DEP000013,P001,S0002,staging,2024-01-09 02:26:37.228023,Success,0,17.5,0
DEP000014,P001,S0002,staging,2023-12-31 22:50:42.536858,Success,0,11.1,0
DEP000015,P001,S0002,production,2024-01-01 00:55:39.261012,Success,0,2.4,0
DEP000016,P001,S0002,production,2024-01-05 08:00:48.687727,Success,0,7.0,0
DEP000017,P001,S0002,production,2023-12-31 00:13:50.124967,Success,0,35.3,0
DEP000018,P001,S0003,staging,2024-01-21 22:50:51.602820,Success,0,6.7,0
DEP000019,P001,S0003,staging,2024-01-26 21:25:20.389739,Success,0,15.0,0
DEP000020,P001,S0003,production,2024-01-21 04:12:15.850274,Success,0,22.1,0
DEP000021,P001,S0003,production,2024-01-17 21:45:54.422551,Success,0,15.0,0
DEP000022,P001,S0003,production,2024-01-25 04:39:24.726090,Success,0,2.8,0
DEP000023,P001,S0003,staging,2024-01-26 08:05:07.661404,Success,0,11.6,0
DEP000024,P001,S0003,staging,2024-01-17 15:14:42.697228,Success,0,6.0,0
DEP000025,P001,S0003,staging,2024-01-26 03:52:00.255672,Success,0,26.6,0
DEP000026,P001,S0003,production,2024-01-22 07:56:03.000709,Success,0,11.7,0
DEP000027,P001,S0003,production,2024-01-20 02:43:46.884649,Success,0,13.0,0
DEP000028,P001,S0003,staging,2024-01-24 01:50:39.102790,Success,0,2.4,0
