issue_id,project_id,sprint_id,team_id,assignee_id,issue_type,priority,severity,status,created_date,resolved_date,resolution_time_hours,reopened,escaped_defect,cycle_time_days
I000001,P001,S0001,T006,D0030,Bug,High,Critical,Done,2023-12-23 15:38:36.102984,2023-12-23 21:50:36.102984,6.2,0,0,0.25833333333333336
I000002,P001,S0001,T006,D0006,Bug,Medium,Critical,Done,2023-12-18 03:49:54.302009,2023-12-19 02:07:54.302009,22.3,0,0,0.9291666666666667
I000003,P001,S0001,T006,D0019,Task,Medium,,Done,2023-12-18 03:07:08.867580,2023-12-21 19:13:08.867580,88.1,0,0,3.6708333333333334
I000004,P001,S0001,T006,D0019,Story,Low,,Done,2023-12-28 16:41:23.956473,2023-12-31 03:47:23.956473,59.1,0,0,2.4625
I000005,P001,S0001,T006,D0050,Sub-task,Medium,,Done,2023-12-20 02:00:53.132478,2023-12-20 14:06:53.132478,12.1,0,0,0.5041666666666667
I000006,P001,S0001,T006,D0019,Bug,High,Minor,Won't Fix,2023-12-17 05:41:29.955140,2023-12-17 15:29:29.955140,9.8,0,0,0.4083333333333333
I000007,P001,S0001,T006,D0006,Task,High,,Done,2023-12-20 08:27:56.455337,2023-12-21 05:39:56.455337,21.2,0,0,0.8833333333333333
I000008,P001,S0001,T006,D0006,Bug,High,Minor,Done,2023-12-21 04:59:16.518329,2023-12-21 11:05:16.518329,6.1,0,0,0.25416666666666665
I000009,P001,S0001,T006,D0006,Task,Low,,Done,2023-12-23 13:54:15.963783,2023-12-24 15:00:15.963783,25.1,0,0,1.0458333333333334
I000010,P001,S0001,T006,D0050,Story,Medium,,Done,2023-12-19 14:56:23.655289,2023-12-20 20:44:23.655289,29.8,0,0,1.2416666666666667
I000011,P001,S0001,T006,D0042,Task,High,,Reopened,2023-12-24 17:50:21.433451,2023-12-24 18:50:21.433451,1.0,1,0,0.041666666666666664
I000012,P001,S0001,T006,D0019,Task,Medium,,Done,2023-12-29 03:04:36.036967,2023-12-29 13:34:36.036967,10.5,0,0,0.4375
I000013,P001,S0001,T006,D0019,Bug,High,Major,Done,2023-12-27 22:39:02.082055,2023-12-28 17:33:02.082055,18.9,0,0,0.7875
I000014,P001,S0001,T006,D0050,Story,High,,In Progress,2023-12-21 02:39:12.001235,,,0,0,
I000015,P001,S0001,T006,D0050,Task,High,,Done,2023-12-25 02:43:10.854425,2023-12-25 03:43:10.854425,1.0,0,0,0.041666666666666664
I000016,P001,S0002,T006,D0050,Story,High,,Reopened,2024-01-08 02:45:44.117011,2024-01-09 18:15:44.117011,39.5,1,0,1.6458333333333333
I000017,P001,S0002,T006,D0030,Task,Medium,,Done,2024-01-02 04:01:11.989625,2024-01-03 00:49:11.989625,20.8,0,0,0.8666666666666667
I000018,P001,S0002,T006,D0004,Bug,Low,Minor,Done,2024-01-09 16:06:40.475818,2024-01-12 04:36:40.475818,60.5,0,0,2.5208333333333335
I000019,P001,S0002,T006,D0019,Bug,Medium,Minor,Done,2024-01-05 22:35:02.646297,2024-01-06 20:29:02.646297,21.9,0,0,0.9125
I000020,P001,S0002,T006,D0019,Story,Medium,,Done,2024-01-07 01:19:48.094768,2024-01-10 23:07:48.094768,93.8,0,0,3.908333333333333
I000021,P001,S0002,T006,D0042,Sub-task,Low,,Reopened,2024-01-02 22:56:00.624139,2024-01-03 04:14:00.624139,5.3,1,0,0.22083333333333333
I000022,P001,S0002,T006,D0030,Bug,Low,Major,Reopened,2024-01-07 17:00:15.935187,2024-01-08 10:42:15.935187,17.7,1,0,0.7375
I000023,P001,S0002,T006,D0042,Task,Low,,Reopened,2024-01-07 11:48:07.086139,2024-01-07 20:00:07.086139,8.2,1,0,0.3416666666666667
