project_id,quality_score,delivery_score,devops_score,project_health_score,project_name,criticality
P009,90.0990099009901,56.27817941093196,79.54545454545455,75.1,Fraud-Detection,High
P008,85.3211009174312,59.038523039280676,87.17948717948718,76.7,Data-Pipeline,Medium
P011,89.77272727272727,57.62968660643079,87.2340425531915,77.8,Inventory-Service,Medium
P005,93.67088607594937,81.85921424841854,93.22033898305084,89.4,Mobile-App-iOS,Low
P004,88.23529411764706,94.51986524387476,92.40506329113924,91.7,Auth-Gateway,Medium
P012,91.48936170212765,88.83153019276826,97.05882352941177,92.2,Analytics-Dashboard,Low
P007,91.35802469135803,93.53878174287746,94.02985074626866,92.9,Notification-Hub,Medium
P002,91.11111111111111,94.54524590668946,95.45454545454545,93.6,Payments-API,Medium
P003,95.28301886792453,92.762184242791,93.10344827586206,93.7,Search-Service,Medium
P001,90.80459770114942,96.10424895114062,96.0,94.2,Checkout-Web,Low
P010,92.3076923076923,94.19203747072599,96.96969696969697,94.4,Customer-Portal,High
P006,95.65217391304348,95.22311661506707,93.05555555555556,94.7,Mobile-App-Android,Low
