pull_request_id,project_id,sprint_id,author_id,reviewer_id,opened_date,closed_date,review_time_hours,pr_size_lines,status,is_merged
PR000001,P001,S0001,D0030,D0042,2023-12-19 01:20:35.781042,,,210,Open,0
PR000002,P001,S0001,D0019,D0042,2023-12-21 13:54:40.185365,2023-12-22 19:12:40.185365,29.3,19,Merged,1
PR000003,P001,S0001,D0004,D0026,2023-12-26 17:22:20.760286,2023-12-27 23:52:20.760286,30.5,179,Closed,0
PR000004,P001,S0001,D0026,D0050,2023-12-19 04:37:48.005550,2023-12-19 06:31:48.005550,1.9,65,Merged,1
PR000005,P001,S0001,D0019,D0004,2023-12-24 21:00:26.642951,2023-12-25 12:12:26.642951,15.2,95,Merged,1
PR000006,P001,S0001,D0006,D0030,2023-12-23 22:10:43.496863,2023-12-24 23:58:43.496863,25.8,198,Closed,0
PR000007,P001,S0001,D0030,D0042,2023-12-28 07:40:46.999579,,,64,Open,0
PR000008,P001,S0001,D0030,D0006,2023-12-17 09:18:41.264603,2023-12-18 01:42:41.264603,16.4,111,Merged,1
PR000009,P001,S0001,D0030,D0050,2023-12-17 10:25:40.059131,2023-12-18 04:25:40.059131,18.0,22,Merged,1
PR000010,P001,S0001,D0026,D0006,2023-12-23 07:16:21.664312,2023-12-23 18:22:21.664312,11.1,144,Merged,1
PR000011,P001,S0001,D0026,D0004,2023-12-23 07:05:44.296219,2023-12-23 11:41:44.296219,4.6,127,Merged,1
PR000012,P001,S0001,D0006,D0004,2023-12-20 12:39:00.887430,2023-12-20 22:45:00.887430,10.1,54,Merged,1
PR000013,P001,S0001,D0030,D0019,2023-12-19 12:33:16.664082,2023-12-20 06:15:16.664082,17.7,152,Closed,0
PR000014,P001,S0001,D0006,D0004,2023-12-19 08:03:46.725296,2023-12-20 11:33:46.725296,27.5,107,Merged,1
PR000015,P001,S0001,D0042,D0006,2023-12-17 23:15:41.412711,2023-12-18 15:33:41.412711,16.3,304,Merged,1
PR000016,P001,S0001,D0050,D0030,2023-12-25 09:31:35.243686,2023-12-25 19:13:35.243686,9.7,35,Merged,1
PR000017,P001,S0001,D0006,D0019,2023-12-21 11:23:31.339985,2023-12-21 20:47:31.339985,9.4,14,Merged,1
PR000018,P001,S0001,D0030,D0006,2023-12-26 18:23:57.737836,2023-12-27 03:35:57.737836,9.2,44,Merged,1
PR000019,P001,S0001,D0019,D0026,2023-12-28 23:52:16.310400,2023-12-29 20:58:16.310400,21.1,209,Closed,0
PR000020,P001,S0001,D0050,D0042,2023-12-23 23:54:40.376205,2023-12-24 21:12:40.376205,21.3,80,Closed,0
PR000021,P001,S0001,D0042,D0004,2023-12-25 18:06:05.322578,2023-12-25 22:24:05.322578,4.3,20,Merged,1
PR000022,P001,S0001,D0019,D0042,2023-12-17 18:23:29.182586,,,226,Open,0
PR000023,P001,S0001,D0019,D0026,2023-12-20 06:16:38.977378,2023-12-20 16:52:38.977378,10.6,76,Merged,1
PR000024,P001,S0001,D0004,D0026,2023-12-22 02:38:15.216880,2023-12-23 03:14:15.216880,24.6,117,Merged,1
PR000025,P001,S0001,D0019,D0026,2023-12-17 21:05:19.148203,2023-12-18 03:17:19.148203,6.2,105,Merged,1
PR000026,P001,S0001,D0050,D0042,2023-12-18 08:11:21.250987,2023-12-18 16:47:21.250987,8.6,16,Merged,1
PR000027,P001,S0002,D0004,D0050,2024-01-07 15:19:32.256027,2024-01-08 21:37:32.256027,30.3,41,Closed,0
PR000028,P001,S0002,D0050,D0042,2024-01-01 03:32:25.623108,2024-01-01 15:56:25.623108,12.4,130,Merged,1
PR000029,P001,S0002,D0042,D0006,2024-01-10 09:22:23.255151,2024-01-11 09:52:23.255151,24.5,42,Closed,0
PR000030,P001,S0002,D0050,D0026,2024-01-07 21:58:06.537445,2024-01-08 07:10:06.537445,9.2,37,Closed,0
PR000031,P001,S0002,D0050,D0004,2024-01-01 13:25:52.180920,2024-01-02 10:31:52.180920,21.1,122,Merged,1
PR000032,P001,S0002,D0042,D0050,2024-01-10 16:46:44.536575,2024-01-11 14:04:44.536575,21.3,81,Merged,1
PR000033,P001,S0002,D0050,D0019,2024-01-08 14:06:51.011834,2024-01-10 02:48:51.011834,36.7,350,Closed,0
PR000034,P001,S0002,D0042,D0026,2023-12-31 21:59:19.877418,2024-01-01 04:53:19.877418,6.9,19,Merged,1
PR000035,P001,S0002,D0004,D0026,2023-12-31 13:17:56.106132,2023-12-31 20:59:56.106132,7.7,107,Merged,1
PR000036,P001,S0002,D0026,D0050,2024-01-10 01:07:23.694567,2024-01-10 06:55:23.694567,5.8,321,Closed,0
PR000037,P001,S0002,D0026,D0042,2024-01-04 13:54:30.392841,,,10,Open,0
PR000038,P001,S0002,D0006,D0042,2024-01-08 16:21:35.132342,2024-01-10 01:57:35.132342,33.6,173,Merged,1
PR000039,P001,S0002,D0030,D0004,2024-01-06 01:49:31.409773,2024-01-06 06:43:31.409773,4.9,187,Merged,1
PR000040,P001,S0002,D0026,D0030,2024-01-02 21:44:22.723130,2024-01-03 08:14:22.723130,10.5,74,Merged,1
PR000041,P001,S0002,D0026,D0019,2024-01-05 04:45:36.218151,2024-01-06 02:09:36.218151,21.4,288,Merged,1
PR000042,P001,S0002,D0004,D0030,2024-01-07 12:50:10.089172,2024-01-08 10:26:10.089172,21.6,51,Merged,1
