release_id,project_id,open_bugs,critical_bugs,sprint_completion_pct,avg_pr_review_time,pending_prs,developer_workload_proxy,recent_deployment_frequency,historical_delay_rate,is_delayed
REL00001,P001,1,0,100.0,14.235869565217389,17,5.285714285714286,5,0.3,0
REL00002,P001,1,0,95.74468085106383,14.235869565217389,17,12.0,2,0.0,0
REL00003,P001,3,2,100.0,14.235869565217389,17,18.714285714285715,7,0.0,0
REL00004,P001,6,5,100.0,14.235869565217389,17,27.142857142857142,3,0.0,1
REL00005,P001,10,6,98.11320754716981,14.235869565217389,17,35.57142857142857,12,0.25,0
REL00006,P002,4,1,100.0,13.242777777777777,19,6.625,8,0.3,1
REL00007,P002,9,1,97.77777777777776,13.242777777777777,19,13.375,4,1.0,0
REL00008,P002,11,1,100.0,13.242777777777777,19,19.375,7,0.5,0
REL00009,P002,15,2,92.98245614035088,13.242777777777777,19,26.0,10,0.3333333333333333,0
REL00010,P002,23,4,100.0,13.242777777777777,19,34.375,8,0.25,0
REL00011,P003,5,1,88.70967741935483,14.64551724137931,22,2.3125,9,0.3,0
REL00012,P003,8,1,81.9672131147541,14.64551724137931,22,6.125,11,0.0,0
REL00013,P003,14,2,91.66666666666666,14.64551724137931,22,9.25,9,0.0,1
REL00014,P003,18,3,100.0,14.64551724137931,22,12.6875,8,0.3333333333333333,1
REL00015,P003,23,5,100.0,14.64551724137931,22,16.75,9,0.5,1
REL00016,P004,2,0,89.70588235294117,14.525683060109289,20,7.0,9,0.3,0
REL00017,P004,6,2,100.0,14.525683060109289,20,15.714285714285714,12,0.0,0
REL00018,P004,9,3,83.33333333333334,14.525683060109289,20,24.428571428571427,12,0.0,1
REL00019,P004,10,3,96.07843137254902,14.525683060109289,20,31.857142857142858,3,0.3333333333333333,0
REL00020,P004,11,3,100.0,14.525683060109289,20,40.285714285714285,9,0.25,0
REL00021,P005,3,2,94.11764705882352,18.431952662721894,17,10.6,7,0.3,0
REL00022,P005,5,3,82.25806451612904,18.431952662721894,17,19.6,6,0.0,0
REL00023,P005,6,3,73.13432835820896,18.431952662721894,17,26.6,9,0.0,0
REL00024,P005,8,4,93.93939393939394,18.431952662721894,17,35.8,7,0.0,0
REL00025,P005,11,6,98.48484848484847,18.431952662721894,17,43.6,4,0.0,0
REL00026,P006,8,2,95.83333333333334,13.924390243902442,20,2.75,6,0.3,1
REL00027,P006,10,2,100.0,13.924390243902442,20,5.6875,6,1.0,1
REL00028,P006,17,3,87.5,13.924390243902442,20,9.0625,9,1.0,1
REL00029,P006,23,5,100.0,13.924390243902442,20,12.25,12,1.0,1
REL00030,P006,26,7,98.0,13.924390243902442,20,14.875,9,1.0,0
REL00031,P007,2,0,100.0,13.838271604938273,23,3.9375,5,0.3,1
REL00032,P007,7,1,100.0,13.838271604938273,23,6.9375,7,1.0,0
REL00033,P007,12,1,79.54545454545455,13.838271604938273,23,10.0,5,0.5,0
REL00034,P007,15,1,100.0,13.838271604938273,23,13.3125,7,0.3333333333333333,1
REL00035,P007,19,1,100.0,13.838271604938273,23,15.75,4,0.5,1
REL00036,P008,6,1,54.83870967741935,24.233532934131738,19,13.4,3,0.3,0
REL00037,P008,7,1,44.44444444444444,24.233532934131738,19,22.4,4,0.0,1
REL00038,P008,12,4,60.416666666666664,24.233532934131738,19,32.2,2,0.5,1
REL00039,P008,22,6,57.8125,24.233532934131738,19,45.6,4,0.6666666666666666,1
REL00040,P008,26,9,61.19402985074627,24.233532934131738,19,55.6,4,0.75,1
REL00041,P009,6,1,37.14285714285714,24.150898203592813,12,10.2,4,0.3,0
REL00042,P009,9,2,64.28571428571429,24.150898203592813,12,19.6,2,0.0,1
REL00043,P009,16,2,53.57142857142857,24.150898203592813,12,32.2,2,0.5,1
REL00044,P009,22,2,76.5625,24.150898203592813,12,44.2,3,0.6666666666666666,0
REL00045,P009,30,7,58.69565217391305,24.150898203592813,12,56.8,6,0.5,1
REL00046,P010,3,2,100.0,13.604117647058823,23,6.375,6,0.3,1
REL00047,P010,11,4,100.0,13.604117647058823,23,12.5,4,1.0,1
REL00048,P010,16,6,70.49180327868852,13.604117647058823,23,16.375,6,1.0,0
REL00049,P010,21,10,100.0,13.604117647058823,23,23.125,8,0.6666666666666666,0
REL00050,P010,24,12,100.0,13.604117647058823,23,28.0,10,0.5,1
REL00051,P011,6,1,62.7906976744186,23.198709677419355,13,9.2,5,0.3,0
REL00052,P011,11,1,57.14285714285714,23.198709677419355,13,19.6,3,0.0,1
REL00053,P011,15,1,62.7906976744186,23.198709677419355,13,29.2,5,0.5,1
REL00054,P011,19,3,52.77777777777778,23.198709677419355,13,41.8,3,0.6666666666666666,0
REL00055,P011,19,2,51.515151515151516,23.198709677419355,13,49.0,4,0.5,1
REL00056,P012,4,0,95.45454545454545,13.388524590163934,22,7.285714285714286,1,0.3,1
REL00057,P012,6,2,96.72131147540985,13.388524590163934,22,13.714285714285714,14,1.0,1
REL00058,P012,8,3,89.83050847457628,13.388524590163934,22,19.571428571428573,6,1.0,0
REL00060,P012,18,6,71.1864406779661,13.388524590163934,22,36.42857142857143,6,0.6666666666666666,0
