review_id,pull_request_id,reviewer_id,review_round,comments_count,approved,review_timestamp
RV0000001,PR000002,D0042,1,6,0,2023-12-21 14:59:40.830654
RV0000002,PR000002,D0042,2,2,1,2023-12-22 12:57:43.349118
RV0000003,PR000003,D0026,1,1,1,2023-12-27 22:39:56.128767
RV0000004,PR000004,D0050,1,0,1,2023-12-19 06:34:53.698676
RV0000005,PR000005,D0004,1,6,0,2023-12-25 00:29:21.612571
RV0000006,PR000005,D0004,2,4,1,2023-12-24 23:25:32.551992
RV0000007,PR000006,D0030,1,0,0,2023-12-24 17:58:01.064034
RV0000008,PR000006,D0030,2,8,0,2023-12-24 12:45:52.356782
RV0000009,PR000006,D0030,3,6,1,2023-12-23 23:53:13.080596
RV0000010,PR000008,D0006,1,9,0,2023-12-17 13:09:30.794175
RV0000011,PR000008,D0006,2,1,1,2023-12-17 16:44:31.986293
RV0000012,PR000009,D0050,1,5,0,2023-12-17 16:33:27.570428
RV0000013,PR000009,D0050,2,0,1,2023-12-17 17:54:46.663579
RV0000014,PR000010,D0006,1,5,1,2023-12-23 15:10:03.097625
RV0000015,PR000011,D0004,1,6,1,2023-12-23 10:21:42.842054
RV0000016,PR000012,D0004,1,8,0,2023-12-20 13:50:37.558964
RV0000017,PR000012,D0004,2,2,0,2023-12-20 19:24:35.342633
RV0000018,PR000012,D0004,3,8,1,2023-12-20 15:29:04.521004
RV0000019,PR000013,D0019,1,0,0,2023-12-19 18:29:29.038087
RV0000020,PR000013,D0019,2,9,0,2023-12-19 17:34:04.978120
RV0000021,PR000013,D0019,3,7,1,2023-12-19 23:43:36.482004
RV0000022,PR000014,D0004,1,9,1,2023-12-19 15:47:33.884780
RV0000023,PR000015,D0006,1,2,0,2023-12-18 04:08:44.077415
RV0000024,PR000015,D0006,2,1,1,2023-12-18 06:44:44.990886
RV0000025,PR000016,D0030,1,2,0,2023-12-25 12:06:03.917680
RV0000026,PR000016,D0030,2,2,1,2023-12-25 14:04:59.555436
RV0000027,PR000017,D0019,1,2,0,2023-12-21 17:46:18.514524
RV0000028,PR000017,D0019,2,4,0,2023-12-21 12:39:03.750291
RV0000029,PR000017,D0019,3,2,1,2023-12-21 17:46:28.940289
RV0000030,PR000018,D0006,1,6,1,2023-12-26 19:43:59.012255
RV0000031,PR000019,D0026,1,3,0,2023-12-29 03:59:14.089078
RV0000032,PR000019,D0026,2,5,0,2023-12-29 13:56:14.778110
RV0000033,PR000019,D0026,3,4,1,2023-12-29 02:20:21.944442
RV0000034,PR000020,D0042,1,2,1,2023-12-24 07:04:29.693411
RV0000035,PR000021,D0004,1,5,1,2023-12-25 22:09:12.082628
RV0000036,PR000023,D0026,1,7,1,2023-12-20 14:53:18.874137
RV0000037,PR000024,D0026,1,2,1,2023-12-22 19:35:59.074905
RV0000038,PR000025,D0026,1,4,0,2023-12-17 23:21:11.758642
RV0000039,PR000025,D0026,2,11,1,2023-12-18 00:24:45.256527
RV0000040,PR000026,D0042,1,2,0,2023-12-18 12:41:01.462583
RV0000041,PR000026,D0042,2,8,1,2023-12-18 09:57:46.425009
RV0000042,PR000027,D0050,1,7,1,2024-01-08 02:03:51.002420
RV0000043,PR000028,D0042,1,4,1,2024-01-01 09:01:44.921823
RV0000044,PR000029,D0006,1,5,1,2024-01-11 08:24:09.833568
RV0000045,PR000030,D0026,1,4,1,2024-01-08 03:15:20.785596
RV0000046,PR000031,D0004,1,1,1,2024-01-01 23:13:58.305812
RV0000047,PR000032,D0050,1,1,0,2024-01-11 10:51:37.976718
RV0000048,PR000032,D0050,2,0,1,2024-01-10 18:31:11.401153
RV0000049,PR000033,D0019,1,2,1,2024-01-09 20:08:11.499752
RV0000050,PR000034,D0026,1,6,1,2023-12-31 23:52:38.093765
RV0000051,PR000035,D0026,1,8,1,2023-12-31 14:27:48.987259
RV0000052,PR000036,D0050,1,1,0,2024-01-10 03:35:30.746170
RV0000053,PR000036,D0050,2,8,0,2024-01-10 03:28:09.300144
RV0000054,PR000036,D0050,3,16,1,2024-01-10 06:18:26.715230
RV0000055,PR000038,D0042,1,9,0,2024-01-09 17:27:08.866897
RV0000056,PR000038,D0042,2,1,1,2024-01-09 08:36:05.639494
RV0000057,PR000039,D0004,1,2,1,2024-01-06 03:27:58.519601
RV0000058,PR000040,D0030,1,2,1,2024-01-03 00:10:17.629040
RV0000059,PR000041,D0019,1,4,1,2024-01-06 00:18:41.046001
RV0000060,PR000042,D0030,1,2,0,2024-01-07 22:44:19.040316
RV0000061,PR000042,D0030,2,8,1,2024-01-08 10:02:39.037313
RV0000062,PR000043,D0042,1,5,0,2024-01-03 13:53:03.489482
RV0000063,PR000043,D0042,2,2,0,2024-01-03 15:34:18.146538
RV0000064,PR000043,D0042,3,4,1,2024-01-03 14:25:28.772990
RV0000065,PR000044,D0006,1,1,0,2024-01-11 07:32:31.994537
RV0000066,PR000044,D0006,2,2,1,2024-01-11 07:25:19.525313
RV0000067,PR000045,D0019,1,2,1,2024-01-11 10:08:30.480541
RV0000068,PR000046,D0004,1,1,1,2024-01-03 19:58:51.925393
RV0000069,PR000047,D0004,1,1,0,2024-01-06 23:07:00.338544
RV0000070,PR000047,D0004,2,3,0,2024-01-07 14:35:37.903518
RV0000071,PR000047,D0004,3,1,1,2024-01-07 16:14:47.792513
RV0000072,PR000048,D0019,1,5,0,2024-01-09 17:04:17.139928
RV0000073,PR000048,D0019,2,6,0,2024-01-08 21:25:43.641148
RV0000074,PR000048,D0019,3,1,1,2024-01-08 21:25:04.592292
RV0000075,PR000049,D0050,1,3,1,2024-01-02 13:19:50.058323
RV0000076,PR000050,D0019,1,3,0,2024-01-18 19:09:51.407298
RV0000077,PR000050,D0019,2,7,1,2024-01-19 00:09:25.202106
RV0000078,PR000051,D0004,1,6,0,2024-01-25 16:16:53.433654
RV0000079,PR000051,D0004,2,4,1,2024-01-25 22:46:39.085423
RV0000080,PR000052,D0004,1,0,1,2024-01-24 15:16:39.594476
RV0000081,PR000053,D0042,1,2,0,2024-01-14 07:45:23.130169
RV0000082,PR000053,D0042,2,6,0,2024-01-14 14:19:41.231806
RV0000083,PR000053,D0042,3,9,1,2024-01-14 14:05:18.949817
RV0000084,PR000054,D0006,1,1,1,2024-01-20 11:22:34.756808
RV0000085,PR000055,D0030,1,0,0,2024-01-23 17:25:15.316060
RV0000086,PR000055,D0030,2,4,1,2024-01-23 12:36:15.719428
RV0000087,PR000056,D0050,1,9,0,2024-01-24 14:50:56.808277
RV0000088,PR000056,D0050,2,2,1,2024-01-24 22:08:28.091191
RV0000089,PR000057,D0006,1,5,1,2024-01-14 19:53:15.796134
RV0000090,PR000058,D0026,1,0,1,2024-01-16 10:33:24.090564
RV0000091,PR000059,D0004,1,15,0,2024-01-20 21:26:42.725531
RV0000092,PR000059,D0004,2,11,0,2024-01-20 18:26:23.277493
RV0000093,PR000059,D0004,3,4,1,2024-01-21 02:34:15.113462
RV0000094,PR000060,D0030,1,3,0,2024-01-16 18:06:18.112278
