commit_id,project_id,sprint_id,developer_id,commit_timestamp,lines_added,lines_deleted,files_changed
C0000001,P001,S0001,D0019,2023-12-28 22:04:22.749983,18,18,1
C0000002,P001,S0001,D0030,2023-12-29 20:25:50.721689,69,6,1
C0000003,P001,S0001,D0030,2023-12-30 07:36:31.218911,77,6,4
C0000004,P001,S0001,D0019,2023-12-21 13:46:47.779592,46,32,1
C0000005,P001,S0001,D0026,2023-12-27 13:00:45.461322,21,16,2
C0000006,P001,S0001,D0004,2023-12-19 02:05:20.778206,23,9,2
C0000007,P001,S0001,D0004,2023-12-27 20:10:29.858528,40,11,1
C0000008,P001,S0001,D0042,2023-12-20 07:17:25.541594,24,20,1
C0000009,P001,S0001,D0004,2023-12-30 04:48:34.012098,89,5,1
C0000010,P001,S0001,D0050,2023-12-26 07:10:51.372638,23,34,2
C0000011,P001,S0001,D0030,2023-12-25 05:47:16.303886,68,30,4
C0000012,P001,S0001,D0042,2023-12-22 06:22:40.722537,77,16,2
C0000013,P001,S0001,D0042,2023-12-29 16:59:52.288199,45,9,3
C0000014,P001,S0001,D0050,2023-12-17 23:24:00.491685,8,2,5
C0000015,P001,S0001,D0042,2023-12-25 21:05:37.271426,98,7,1
C0000016,P001,S0001,D0004,2023-12-20 15:16:22.630810,64,7,4
C0000017,P001,S0001,D0030,2023-12-20 19:53:08.407176,63,15,5
C0000018,P001,S0001,D0004,2023-12-25 03:00:13.786433,72,7,1
C0000019,P001,S0001,D0042,2023-12-20 23:22:12.887824,56,8,1
C0000020,P001,S0001,D0019,2023-12-18 20:06:15.132887,35,11,1
C0000021,P001,S0001,D0050,2023-12-19 13:03:59.458946,38,8,1
C0000022,P001,S0001,D0050,2023-12-25 18:59:19.662070,64,81,1
C0000023,P001,S0001,D0004,2023-12-19 11:01:50.184865,19,23,4
C0000024,P001,S0001,D0019,2023-12-17 23:48:53.164528,20,34,2
C0000025,P001,S0001,D0026,2023-12-20 17:09:58.542236,6,37,3
C0000026,P001,S0001,D0004,2023-12-22 22:53:25.378556,55,32,1
C0000027,P001,S0001,D0030,2023-12-24 16:55:21.465029,83,35,1
C0000028,P001,S0001,D0019,2023-12-18 19:34:37.218231,17,66,11
C0000029,P001,S0001,D0006,2023-12-26 17:20:00.761366,48,10,2
C0000030,P001,S0001,D0030,2023-12-19 03:01:49.412455,109,2,2
C0000031,P001,S0001,D0026,2023-12-29 15:08:43.515062,70,43,6
C0000032,P001,S0001,D0019,2023-12-21 10:13:52.181636,31,16,1
C0000033,P001,S0001,D0030,2023-12-20 14:50:20.294576,80,7,1
C0000034,P001,S0001,D0050,2023-12-20 16:19:21.960371,72,42,3
C0000035,P001,S0001,D0030,2023-12-19 17:21:18.227028,26,55,3
C0000036,P001,S0001,D0026,2023-12-24 15:40:53.237674,13,41,6
C0000037,P001,S0001,D0006,2023-12-23 08:46:55.507696,139,44,1
C0000038,P001,S0001,D0004,2023-12-22 15:21:41.234781,37,3,3
C0000039,P001,S0001,D0050,2023-12-19 04:23:40.030289,62,2,1
C0000040,P001,S0001,D0050,2023-12-25 13:41:31.437268,100,15,4
C0000041,P001,S0001,D0042,2023-12-22 06:04:40.081292,28,3,3
C0000042,P001,S0001,D0006,2023-12-25 09:21:14.348035,35,26,1
C0000043,P001,S0001,D0026,2023-12-25 00:01:05.828965,86,48,1
C0000044,P001,S0001,D0006,2023-12-27 09:38:49.939764,20,5,1
C0000045,P001,S0001,D0042,2023-12-25 19:42:26.990780,68,52,1
C0000046,P001,S0001,D0042,2023-12-23 19:16:58.935849,14,3,6
C0000047,P001,S0001,D0006,2023-12-21 17:20:00.922981,46,8,2
C0000048,P001,S0001,D0030,2023-12-26 05:25:39.581958,43,3,2
C0000049,P001,S0001,D0019,2023-12-26 08:16:08.737072,37,39,2
