release_id,project_id,team_id,sprint_id,planned_release_date,actual_release_date,release_delay_days,status,version
REL00001,P001,T006,S0002,2024-01-15,2024-01-15,0.0,On Time,v2.14.4
REL00002,P001,T006,S0004,2024-02-12,2024-02-12,0.0,On Time,v1.16.9
REL00003,P001,T006,S0006,2024-03-11,2024-03-11,0.0,On Time,v4.16.2
REL00004,P001,T006,S0008,2024-04-08,2024-04-09,1.5,Delayed,v4.7.1
REL00005,P001,T006,S0010,2024-05-06,2024-05-06,0.0,On Time,v4.17.7
REL00006,P002,T003,S0012,2024-01-23,2024-01-31,8.3,Delayed,v3.4.2
REL00007,P002,T003,S0014,2024-02-20,2024-02-20,0.0,On Time,v3.7.4
REL00008,P002,T003,S0016,2024-03-19,2024-03-19,0.0,On Time,v1.0.3
REL00009,P002,T003,S0018,2024-04-16,2024-04-16,0.0,On Time,v4.19.0
REL00010,P002,T003,S0020,2024-05-14,2024-05-14,0.0,On Time,v2.4.7
REL00011,P003,T004,S0022,2024-01-18,2024-01-18,0.0,On Time,v4.19.3
REL00012,P003,T004,S0024,2024-02-15,2024-02-15,0.0,On Time,v3.10.3
REL00013,P003,T004,S0026,2024-03-14,2024-03-17,3.3,Delayed,v3.9.0
REL00014,P003,T004,S0028,2024-04-11,2024-04-12,1.5,Delayed,v2.5.6
REL00015,P003,T004,S0030,2024-05-09,2024-05-11,2.7,Delayed,v3.10.6
REL00016,P004,T006,S0032,2024-01-27,2024-01-27,0.0,On Time,v4.0.8
REL00017,P004,T006,S0034,2024-02-24,2024-02-24,0.0,On Time,v3.7.9
REL00018,P004,T006,S0036,2024-03-23,2024-03-25,2.1,Delayed,v3.4.3
REL00019,P004,T006,S0038,2024-04-20,2024-04-20,0.4,On Time,v4.15.4
REL00020,P004,T006,S0040,2024-05-18,2024-05-18,0.0,On Time,v2.19.8
REL00021,P005,T007,S0042,2024-01-22,2024-01-22,0.0,On Time,v3.4.8
REL00022,P005,T007,S0044,2024-02-19,2024-02-19,0.1,On Time,v4.1.7
REL00023,P005,T007,S0046,2024-03-18,2024-03-18,0.0,On Time,v1.19.3
REL00024,P005,T007,S0048,2024-04-15,2024-04-15,0.1,On Time,v3.3.1
REL00025,P005,T007,S0050,2024-05-13,2024-05-13,0.0,On Time,v4.12.2
REL00026,P006,T004,S0052,2023-12-19,2023-12-20,1.1,Delayed,v4.13.3
REL00027,P006,T004,S0054,2024-01-16,2024-01-19,3.4,Delayed,v3.3.5
REL00028,P006,T004,S0056,2024-02-13,2024-02-17,4.4,Delayed,v4.4.9
REL00029,P006,T004,S0058,2024-03-12,2024-03-15,3.5,Delayed,v4.15.9
REL00030,P006,T004,S0060,2024-04-09,2024-04-09,0.0,On Time,v4.14.3
REL00031,P007,T004,S0062,2023-12-17,2023-12-20,3.6,Delayed,v2.18.5
REL00032,P007,T004,S0064,2024-01-14,2024-01-14,0.0,On Time,v3.10.4
REL00033,P007,T004,S0066,2024-02-11,2024-02-11,0.0,On Time,v2.12.6
REL00034,P007,T004,S0068,2024-03-10,2024-03-11,1.6,Delayed,v2.11.2
REL00035,P007,T004,S0070,2024-04-07,2024-04-08,1.5,Delayed,v4.13.9
REL00036,P008,T005,S0072,2024-01-26,2024-01-26,0.1,On Time,v4.3.1
REL00037,P008,T005,S0074,2024-02-23,2024-02-29,6.5,Delayed,v2.9.2
REL00038,P008,T005,S0076,2024-03-22,2024-03-30,8.9,Delayed,v3.11.1
REL00039,P008,T005,S0078,2024-04-19,2024-04-21,2.6,Delayed,v2.13.5
REL00040,P008,T005,S0080,2024-05-17,2024-05-22,5.1,Delayed,v2.6.1
REL00041,P009,T005,S0082,2024-01-27,2024-01-27,0.0,On Time,v4.7.9
REL00042,P009,T005,S0084,2024-02-24,2024-02-27,3.2,Delayed,v2.18.5
REL00043,P009,T005,S0086,2024-03-23,2024-03-30,8.0,Delayed,v2.17.1
REL00044,P009,T005,S0088,2024-04-20,2024-04-20,0.0,On Time,v3.9.4
REL00045,P009,T005,S0090,2024-05-18,2024-05-22,4.5,Delayed,v4.12.3
REL00046,P010,T008,S0092,2023-12-29,2023-12-30,1.1,Delayed,v2.11.9
REL00047,P010,T008,S0094,2024-01-26,2024-01-27,1.4,Delayed,v4.4.5
REL00048,P010,T008,S0096,2024-02-23,2024-02-23,0.6,On Time,v4.9.5
REL00049,P010,T008,S0098,2024-03-22,2024-03-22,0.2,On Time,v2.13.3
REL00050,P010,T008,S0100,2024-04-19,2024-04-21,2.2,Delayed,v1.9.1
REL00051,P011,T005,S0102,2023-12-23,2023-12-23,0.0,On Time,v3.2.3
REL00052,P011,T005,S0104,2024-01-20,2024-01-22,2.9,Delayed,v3.8.8
REL00053,P011,T005,S0106,2024-02-17,2024-02-18,1.3,Delayed,v1.3.7
REL00054,P011,T005,S0108,2024-03-16,2024-03-16,0.0,On Time,v4.19.8
REL00055,P011,T005,S0110,2024-04-13,2024-04-17,4.7,Delayed,v4.16.1
REL00056,P012,T006,S0112,2023-12-18,2023-12-21,3.1,Delayed,v1.6.0
REL00057,P012,T006,S0114,2024-01-15,2024-01-16,1.2,Delayed,v2.18.5
REL00058,P012,T006,S0116,2024-02-12,2024-02-12,0.0,On Time,v3.14.5
REL00059,P012,T006,S0118,2024-03-11,,,Cancelled,v1.5.5
REL00060,P012,T006,S0120,2024-04-08,2024-04-08,0.0,On Time,v1.13.5
