sprint_id,project_id,team_id,sprint_number,sprint_start_date,sprint_end_date,planned_story_points,completed_story_points
S0001,P001,T006,1,2023-12-17,2023-12-30,44,41
S0002,P001,T006,2,2023-12-31,2024-01-13,33,33
S0003,P001,T006,3,2024-01-14,2024-01-27,49,40
S0004,P001,T006,4,2024-01-28,2024-02-10,47,45
S0005,P001,T006,5,2024-02-11,2024-02-24,45,45
S0006,P001,T006,6,2024-02-25,2024-03-09,31,31
S0007,P001,T006,7,2024-03-10,2024-03-23,44,43
S0008,P001,T006,8,2024-03-24,2024-04-06,64,64
S0009,P001,T006,9,2024-04-07,2024-04-20,56,53
S0010,P001,T006,10,2024-04-21,2024-05-04,53,52
S0011,P002,T003,1,2023-12-25,2024-01-07,67,50
S0012,P002,T003,2,2024-01-08,2024-01-21,55,55
S0013,P002,T003,3,2024-01-22,2024-02-04,48,48
S0014,P002,T003,4,2024-02-05,2024-02-18,45,44
S0015,P002,T003,5,2024-02-19,2024-03-03,68,62
S0016,P002,T003,6,2024-03-04,2024-03-17,42,42
S0017,P002,T003,7,2024-03-18,2024-03-31,63,56
S0018,P002,T003,8,2024-04-01,2024-04-14,57,53
S0019,P002,T003,9,2024-04-15,2024-04-28,55,55
S0020,P002,T003,10,2024-04-29,2024-05-12,62,62
S0021,P003,T004,1,2023-12-20,2024-01-02,41,41
S0022,P003,T004,2,2024-01-03,2024-01-16,62,55
S0023,P003,T004,3,2024-01-17,2024-01-30,69,52
S0024,P003,T004,4,2024-01-31,2024-02-13,61,50
S0025,P003,T004,5,2024-02-14,2024-02-27,43,43
S0026,P003,T004,6,2024-02-28,2024-03-12,60,55
S0027,P003,T004,7,2024-03-13,2024-03-26,34,33
S0028,P003,T004,8,2024-03-27,2024-04-09,63,63
S0029,P003,T004,9,2024-04-10,2024-04-23,42,39
S0030,P003,T004,10,2024-04-24,2024-05-07,30,30
S0031,P004,T006,1,2023-12-29,2024-01-11,66,62
S0032,P004,T006,2,2024-01-12,2024-01-25,68,61
S0033,P004,T006,3,2024-01-26,2024-02-08,68,68
S0034,P004,T006,4,2024-02-09,2024-02-22,47,47
S0035,P004,T006,5,2024-02-23,2024-03-07,41,41
S0036,P004,T006,6,2024-03-08,2024-03-21,60,50
S0037,P004,T006,7,2024-03-22,2024-04-04,61,54
S0038,P004,T006,8,2024-04-05,2024-04-18,51,49
S0039,P004,T006,9,2024-04-19,2024-05-02,47,44
S0040,P004,T006,10,2024-05-03,2024-05-16,34,34
S0041,P005,T007,1,2023-12-24,2024-01-06,35,30
S0042,P005,T007,2,2024-01-07,2024-01-20,34,32
S0043,P005,T007,3,2024-01-21,2024-02-03,33,24
S0044,P005,T007,4,2024-02-04,2024-02-17,62,51
S0045,P005,T007,5,2024-02-18,2024-03-02,58,54
S0046,P005,T007,6,2024-03-03,2024-03-16,67,49
S0047,P005,T007,7,2024-03-17,2024-03-30,69,49
S0048,P005,T007,8,2024-03-31,2024-04-13,33,31
S0049,P005,T007,9,2024-04-14,2024-04-27,61,33
S0050,P005,T007,10,2024-04-28,2024-05-11,66,65
S0051,P006,T004,1,2023-11-20,2023-12-03,34,32
S0052,P006,T004,2,2023-12-04,2023-12-17,48,46
S0053,P006,T004,3,2023-12-18,2023-12-31,32,32
S0054,P006,T004,4,2024-01-01,2024-01-14,53,53
S0055,P006,T004,5,2024-01-15,2024-01-28,68,54
S0056,P006,T004,6,2024-01-29,2024-02-11,64,56
S0057,P006,T004,7,2024-02-12,2024-02-25,38,37
S0058,P006,T004,8,2024-02-26,2024-03-10,69,69
S0059,P006,T004,9,2024-03-11,2024-03-24,32,32
S0060,P006,T004,10,2024-03-25,2024-04-07,50,49
S0061,P007,T004,1,2023-11-18,2023-12-01,55,50
S0062,P007,T004,2,2023-12-02,2023-12-15,55,55
S0063,P007,T004,3,2023-12-16,2023-12-29,53,51
S0064,P007,T004,4,2023-12-30,2024-01-12,54,54
S0065,P007,T004,5,2024-01-13,2024-01-26,41,39
S0066,P007,T004,6,2024-01-27,2024-02-09,44,35
S0067,P007,T004,7,2024-02-10,2024-02-23,53,39
S0068,P007,T004,8,2024-02-24,2024-03-08,62,62
S0069,P007,T004,9,2024-03-09,2024-03-22,57,57
S0070,P007,T004,10,2024-03-23,2024-04-05,46,46
S0071,P008,T005,1,2023-12-28,2024-01-10,67,38
S0072,P008,T005,2,2024-01-11,2024-01-24,62,34
S0073,P008,T005,3,2024-01-25,2024-02-07,69,42
S0074,P008,T005,4,2024-02-08,2024-02-21,45,20
S0075,P008,T005,5,2024-02-22,2024-03-06,68,42
